Var1,Var2,Var3
194,15.8141692189691,3022
195,16.3841981661586,3009
196,13.3410452798719,2877
197,14.9457395485477,3035
198,14.8406704157066,3007
199,14.2096800997256,3040
200,13.8277802684561,3009
201,13.407200387738,3029
202,13.9674687112984,3016
203,13.7255636928245,2798
204,16.6318434561207,3038
205,14.354709229288,2702
206,14.899396310667,3020
207,14.6042648443632,3032
208,15.310258013332,3004
209,15.577516373136,3008
210,13.9965578345588,3004
211,13.9873556508572,3033
212,13.6323944695548,3048
213,15.1264773407087,3034
214,16.5426927644315,3009
215,14.4269111589363,3030
216,13.5534700126647,3007
217,14.3796276802584,3037
218,14.825478672185,3002
219,16.7977470590545,3012
220,15.8235370294964,2023
221,14.4770686425574,3030
222,13.7952655566253,2897
223,14.3580162229005,3042
224,13.562483171823,3040
225,15.9864643791542,3000
226,14.4732478283888,3008
227,16.0832158056199,3029
228,13.7702439228951,3006
229,15.6159685930111,3003
230,13.5211163659494,3009
231,15.4073368642738,3028
232,16.57352815317,3026
233,14.3509284878495,3041
234,16.8809922076311,3034
235,13.9304359147613,3033
236,17.1751437598769,3013
237,13.799989408319,3031
238,14.648611375339,3023
239,16.0017245212951,3007
240,19.9293005291156,1259
241,14.2817453480731,3025
242,15.0418685344726,3024
243,15.0075483667853,3041
244,17.227210870624,3036
245,13.8891230749479,3016
246,14.3668504478713,3017
247,15.0190704113426,3019
248,13.8312057562976,3038
249,16.4666367955548,3010
250,13.4088114114492,3027
251,15.7928203453567,3000
252,14.4485964416396,3022
253,15.5360999402062,3005
254,14.1242100128173,3005
255,13.328847628891,3042
256,14.5487834297002,3026
257,13.9008238442922,3012
258,14.7039078422072,3003
259,15.8150251602312,3020
260,13.2421984431612,3033
261,16.0532300683082,3024
262,13.7072603739148,3009
263,13.8059542098218,3016
264,15.599680182003,2605
265,13.9223919429715,3023
266,13.5544542832028,3000
267,14.926801355768,3014
268,15.6581680290921,3000
269,16.0614146898898,3004
270,14.0452393894439,3037
271,15.9960180700547,3036
272,15.8998348612222,3007
273,13.8553702517983,3037
274,16.0593070730205,3028
275,15.7215516362152,3028
276,15.6775598811977,3043
277,16.0522207549777,3023
278,16.2265942546415,3010
279,14.2396811345334,3010
280,13.6299645728648,3041
281,14.3322372148022,3032
282,15.490822711728,3043
283,14.7778278434147,3021
284,13.8038752495805,3039
285,15.160394734628,3010
286,16.3761522081658,3023
287,16.0119609552563,2108
288,14.2289152239284,3036
289,13.3088071113884,3031
290,15.2033096905301,3005
291,13.9641717903911,3022
292,13.8547599881187,3000
293,15.1110764102551,1792
294,13.5857942363081,3002
295,13.3601592356189,3047
296,15.5266689451962,2320
297,13.7526428616709,3016
298,14.0938667304862,3001
299,16.1685738108547,3007
300,15.6177904956444,3022
301,16.3853747224902,3023
302,14.3649728204542,3014
303,17.5361073681044,3012
304,15.6645626269798,3027
305,13.9892013482764,3018
306,14.1052819339365,3032
307,14.392655580454,3011
308,12.9736390384148,3001
309,15.9531708847189,3046
310,14.7495168152872,3002
311,15.945676118081,3028
312,16.5578735445141,3003
313,16.1963960783727,3014
314,16.3260754005155,3025
315,15.9996069667347,3019
316,53.6386407730649,729
317,15.8204351645868,3016
318,13.4617059841022,3009
319,14.5294155504394,3048
320,13.3611289551455,3000
321,13.9389771558366,3040
322,16.298373962293,3006
323,15.2838161518177,3032
324,13.4263043343156,3043
325,14.0935146892565,3013
326,14.1679230339868,3042
327,13.9699907643327,3012
328,14.989990384063,3028
329,13.8854902878295,3042
330,14.5222976716482,3022
331,16.1503268836223,3003
332,13.38133154326,3014
333,17.0016049450337,3007
334,13.2527629084655,3024
335,14.6949580383296,2645
336,14.927464403412,3000
337,16.5734939748972,3019
338,16.4146126876032,3038
339,16.631231714743,3015
340,14.1468611768096,3048
341,14.1245665550702,3027
342,16.4759301055637,3022
343,15.0328333899985,3016
344,13.6522354913996,3029
345,14.0085450279578,3002
346,17.0552499283175,3036
347,14.2503462591297,3026
348,14.1608420998869,3004
349,13.8309286043617,3036
350,13.5822006955147,3028
351,16.3583364843161,3001
352,14.3013594066615,3007
353,14.7026671238947,3021
354,14.6548148053022,3023
355,14.5971699327447,3036
356,14.4748328276858,3048
357,14.4765319518084,3023
358,14.4144144658414,3007
359,13.9334609664758,3003
360,16.1728030610021,3005
361,13.2896896304021,3000
362,14.8031396175283,3025
363,16.1380847223262,3011
364,14.1119733710406,3044
365,13.9181711632567,3012
366,14.8810923886464,3010
367,15.4673629042566,3015
368,14.2758914774459,3036
369,14.3475198610428,3047
370,14.3841845761181,3000
371,17.2805995419739,3020
372,13.7955581079543,3019
373,13.6264177453384,2904
374,14.6545811894091,3037
375,15.724209125312,3047
376,13.8039143925859,3037
377,14.2604144766234,3037
378,16.1818337723683,3006
379,15.8721690102955,3009
380,14.1467584283632,3027
381,15.5363256297391,3000
382,14.1237757822958,3048
383,13.3995304377266,3031
384,14.3224995387923,3037
385,14.3383117342707,3004
386,15.3076706108202,3044
387,13.6365859228981,3012
388,15.9370327623503,2336
389,16.1997230488781,3013
390,14.8541539151774,3019
391,13.4556853624713,3005
392,15.3614956018167,3042
393,13.6851188358704,3026
394,16.9069760214564,3009
395,13.8847403003891,3030
396,13.669494384139,3006
397,15.6366770585261,3035
398,14.9041838519796,3020
399,15.3353464633174,3011
400,15.6731112938111,3000
401,15.856864053484,3016
402,16.5783586120384,3042
403,15.4278450885164,3039
404,13.2407878804092,3039
405,13.9020713439091,3023
406,14.0860538528645,3014
407,14.437144955803,3042
408,16.6233208782458,3036
409,16.4432669558099,3019
410,15.8770215133794,3000
411,15.6004548803223,3012
412,15.0811719862781,2853
413,13.8586515274056,3038
414,13.5987000272002,3034
415,16.8143178774657,3003
416,16.8177202656894,2898
417,14.3057829003176,3045
418,13.5662846974149,3044
419,15.0105084665265,3013
420,13.6984691604323,3042
421,13.1860565926917,3048
422,13.7194716646183,3047
423,13.356454927366,3048
424,16.3687194343668,3043
425,14.1511506019365,2922
426,14.022298618217,3038
427,14.200711056278,3019
428,13.6704421084064,3041
429,16.1854843704869,2821
430,13.4486548128747,3040
431,15.5252491590751,3005
432,14.0037143277591,3010
433,13.6867855499962,3025
434,13.7986487991248,3004
435,13.8438433363092,3015
436,14.5015451694318,3006
437,13.2051864074325,3019
438,13.6362740042184,3013
439,17.0525626284588,1408
440,15.3731817430701,3002
441,16.081877919564,3034
442,15.0064959020994,3016
443,13.7634527452169,3003
444,14.2813357112445,3001
445,13.79231350273,3048
446,13.8908154175836,3013
447,14.8762085281724,3010
448,16.7300133587801,3023
449,13.5655172744988,3027
450,14.2391496973543,3008
451,14.6438134596032,3015
452,16.3441883609772,3001
453,15.7256043730197,3000
454,15.5838418484185,2455
455,14.4650317632988,3039
456,16.883235020334,3009
457,16.789544356708,2708
458,14.2418400386768,3005
459,14.6471282972046,3013
460,14.14576587062,3034
461,14.0207822611868,3031
462,16.131898028466,3016
463,16.3079422048903,3006
464,14.1470834520248,3041
465,15.9661777093076,3000
466,13.4239283992493,3044
467,15.1033291257975,3018
468,13.6805263059387,3045
469,15.659748639584,3001
470,17.126287117985,3000
471,15.5741535369953,3000
472,14.8448917159654,3033
473,14.2728446450298,3025
474,13.7147539662064,3046
475,14.459565410605,3043
476,14.0686156046501,3011
477,13.7213223436286,3007
478,16.7092099478623,3017
479,13.8860115780271,3047
480,13.2213229306626,3020
481,14.5718122894738,3007
482,16.2072993470555,3036
483,13.966990187109,3010
484,15.9628438258712,3015
485,14.9606216197512,3002
486,13.6849702067218,3042
487,14.1463139178027,3029
488,13.6756165461651,3025
489,14.013891664561,3035
490,13.6233753391731,3030
491,17.1971986228695,1940
492,15.438703602511,3005
493,13.67972503935,3046
494,16.4030874346827,3024
495,13.6859158020053,3012
496,13.8081766223385,3038
497,15.5769528276072,3039
498,16.3148650949665,3013
499,16.8926038300258,2431
500,15.4611799553217,3038
